Location,Crop,Region,Soil Type,Rainfall (mm),Temperature (°C),Drought Tolerance,Flood Resistance,Heat Resilience,Yield Under Stress (tons/ha)
Arunachal Pradesh,Soybean,North,Clay,1401.67,20.5,0.03,0.93,0.33,7.81
West Bengal,Rice,South,Loamy,896.26,37.5,0.84,0.67,0.53,3.42
Manipur,Maize,North,Clay,486.54,30.4,0.9,0.0,0.27,6.94
Chhattisgarh,Cotton,West,Peaty,1410.31,15.6,0.68,0.77,0.63,4.02
Chhattisgarh,Cotton,Central,Clay,912.06,25.1,0.92,0.66,0.98,2.28
Tripura,Cotton,East,Peaty,954.44,35.7,0.22,0.81,0.22,9.12
Karnataka,Maize,South,Silt,443.63,34.2,0.64,0.18,0.19,8.68
Arunachal Pradesh,Wheat,North,Sandy,649.54,25.1,0.1,0.73,0.69,5.66
Rajasthan,Cotton,South,Loamy,312.97,39.6,0.68,0.04,0.12,6.33
Andhra Pradesh,Maize,West,Clay,1053.27,31.6,0.81,0.97,0.04,6.83
Sikkim,Soybean,Central,Silt,700.68,28.2,0.45,0.16,0.86,7.09
Jammu and Kashmir,Maize,Central,Loamy,1284.57,34.0,0.65,0.75,0.43,8.03
Assam,Wheat,Central,Sandy,1307.79,20.2,0.85,0.83,0.56,3.89
Odisha,Wheat,Central,Clay,911.02,23.1,0.88,0.45,0.56,3.2
Assam,Maize,East,Silt,898.57,28.1,0.81,0.41,0.01,7.38
Nagaland,Cotton,South,Peaty,593.46,27.5,0.34,0.52,0.96,8.58
Jammu and Kashmir,Wheat,East,Silt,303.68,22.9,0.13,0.4,0.4,9.7
Arunachal Pradesh,Maize,North,Peaty,1493.76,21.1,0.25,0.12,0.83,4.38
Nagaland,Wheat,Central,Loamy,860.26,19.3,0.73,0.39,0.16,3.74
Odisha,Maize,South,Peaty,1095.82,23.7,0.82,0.16,0.57,3.4
Nagaland,Cotton,West,Loamy,838.06,17.2,0.78,0.23,0.24,4.56
Uttarakhand,Maize,North,Clay,598.58,32.3,0.29,0.33,0.37,9.31
Punjab,Maize,North,Silt,792.14,21.2,0.96,0.97,0.1,8.51
Karnataka,Maize,North,Clay,1207.81,35.6,0.32,0.81,0.63,1.97
Uttar Pradesh,Soybean,North,Loamy,1133.99,39.2,0.91,0.25,0.28,1.46
Rajasthan,Rice,East,Clay,351.83,27.2,0.34,0.54,0.33,9.91
Jharkhand,Rice,South,Silt,547.78,23.6,0.77,0.85,0.33,2.08
Assam,Rice,South,Silt,1334.15,35.3,0.71,0.48,0.69,5.98
Madhya Pradesh,Maize,Central,Silt,1041.32,31.9,0.45,0.11,0.36,6.89
Rajasthan,Maize,South,Silt,572.3,21.7,0.12,0.55,0.22,2.38
Arunachal Pradesh,Soybean,Central,Loamy,1438.38,20.7,0.07,0.21,0.04,3.03
Odisha,Rice,West,Clay,890.62,19.0,0.89,0.68,0.75,3.95
Gujarat,Soybean,West,Silt,541.26,30.7,0.15,0.92,0.29,6.54
Jammu and Kashmir,Maize,Central,Sandy,664.8,25.1,0.23,0.87,0.7,7.07
Telangana,Maize,North,Silt,909.07,36.1,0.05,0.59,0.26,6.45
Kerala,Rice,Central,Peaty,1173.24,31.2,0.63,0.09,0.86,9.25
Ladakh,Cotton,East,Clay,1434.43,37.6,0.68,0.93,0.04,4.71
Uttarakhand,Cotton,South,Loamy,1225.74,17.8,0.22,0.94,0.74,8.57
Jammu and Kashmir,Soybean,North,Sandy,1268.16,33.8,0.57,0.15,0.04,4.43
Gujarat,Maize,South,Clay,1237.86,31.5,0.06,0.12,0.13,2.25
Rajasthan,Maize,West,Clay,1400.97,22.7,0.77,0.53,0.68,5.36
Delhi,Soybean,North,Clay,788.64,16.4,0.67,0.35,0.06,2.93
Punjab,Wheat,South,Silt,528.43,32.2,0.77,0.43,0.47,1.04
Maharashtra,Wheat,Central,Clay,520.04,38.0,0.12,0.39,0.3,4.24
Manipur,Wheat,West,Peaty,1133.71,28.5,0.46,0.49,0.33,1.38
Mizoram,Soybean,East,Silt,1208.7,24.3,0.91,0.69,0.61,7.63
Jammu and Kashmir,Soybean,West,Sandy,1299.76,18.4,0.87,0.25,0.7,1.44
West Bengal,Rice,East,Loamy,1321.24,15.2,0.88,0.08,0.91,8.03
Madhya Pradesh,Maize,South,Silt,1218.66,23.4,0.71,0.73,0.54,6.57
Delhi,Cotton,West,Sandy,1056.58,21.2,0.97,0.46,0.2,9.66
Himachal Pradesh,Rice,South,Silt,452.78,17.8,0.53,0.97,0.51,1.55
Nagaland,Rice,East,Peaty,558.46,24.7,0.09,0.13,0.79,3.45
Sikkim,Rice,West,Silt,1079.46,22.9,0.55,0.84,0.39,2.18
Maharashtra,Wheat,South,Loamy,219.76,36.4,0.0,0.85,0.34,5.96
Maharashtra,Soybean,South,Sandy,331.17,37.6,0.57,0.46,0.88,4.38
Bihar,Cotton,South,Sandy,1353.56,23.0,0.77,0.44,0.26,5.81
Mizoram,Cotton,East,Peaty,608.97,38.9,0.22,0.31,0.84,9.06
Meghalaya,Wheat,North,Clay,394.42,33.5,0.74,0.99,0.2,4.88
Karnataka,Cotton,North,Clay,543.93,32.7,0.43,0.3,0.5,4.53
Mizoram,Maize,South,Clay,1299.89,30.0,0.25,0.34,0.95,3.96
Tamil Nadu,Cotton,Central,Silt,1047.68,29.7,0.49,0.79,0.23,2.86
Telangana,Rice,West,Clay,246.96,24.0,0.33,0.62,0.97,4.98
Kerala,Maize,Central,Silt,341.92,24.7,0.02,0.87,0.2,3.82
Tripura,Rice,West,Sandy,1191.12,26.8,0.97,0.26,0.42,6.55
Assam,Soybean,West,Loamy,596.32,37.1,0.92,0.3,0.63,6.27
Karnataka,Cotton,West,Loamy,223.6,29.1,0.07,0.63,0.45,2.4
Jammu and Kashmir,Wheat,North,Silt,1384.51,39.6,0.4,0.28,0.77,2.45
Chhattisgarh,Cotton,Central,Clay,350.77,37.9,0.57,0.84,0.08,4.96
Assam,Wheat,Central,Sandy,323.12,16.8,0.8,0.8,0.94,2.4
Tamil Nadu,Wheat,West,Sandy,641.54,20.5,0.92,0.62,0.97,8.67
Jharkhand,Maize,South,Peaty,825.53,23.6,0.55,0.91,0.83,3.16
Himachal Pradesh,Soybean,East,Loamy,985.44,26.2,0.21,0.91,0.11,8.3
Rajasthan,Wheat,South,Silt,1421.17,31.3,0.9,0.11,0.24,3.96
Kerala,Soybean,West,Peaty,352.49,31.0,0.21,0.84,0.75,1.67
Kerala,Soybean,East,Loamy,491.89,31.6,0.35,0.9,0.91,4.73
Haryana,Maize,Central,Clay,1264.96,29.4,0.19,0.91,0.96,4.4
Chhattisgarh,Rice,West,Loamy,489.67,16.1,0.6,0.59,0.32,6.75
Tripura,Cotton,North,Silt,758.64,34.1,0.14,0.47,0.48,8.3
Arunachal Pradesh,Cotton,South,Sandy,1342.32,15.8,0.54,0.29,0.99,1.59
Ladakh,Cotton,South,Loamy,1247.55,21.5,0.79,0.04,0.59,6.01
Goa,Maize,East,Sandy,1262.56,35.7,0.31,0.15,0.71,7.13
Tripura,Maize,Central,Clay,642.38,25.3,0.69,0.27,0.17,6.2
Bihar,Rice,South,Sandy,836.86,31.6,0.89,0.05,0.56,4.72
Nagaland,Soybean,East,Silt,1337.96,29.0,0.78,0.44,0.66,5.01
Tripura,Maize,Central,Loamy,252.41,24.2,0.7,0.71,0.9,7.83
Meghalaya,Rice,South,Clay,1347.67,25.8,0.22,0.93,0.15,1.81
Maharashtra,Soybean,West,Peaty,1088.07,26.8,0.4,0.45,0.84,9.59
Uttarakhand,Soybean,East,Loamy,591.75,26.8,0.57,0.76,0.58,2.1
Jharkhand,Soybean,East,Clay,1311.54,38.4,0.3,0.15,0.57,2.14
Punjab,Rice,North,Silt,1180.6,33.4,0.58,0.13,0.71,1.02
Karnataka,Maize,South,Clay,659.64,17.9,0.49,0.01,0.92,8.15
Manipur,Wheat,Central,Peaty,514.1,32.5,0.78,0.27,0.08,5.52
Telangana,Soybean,Central,Silt,883.83,26.2,0.85,0.06,0.61,7.61
Arunachal Pradesh,Soybean,North,Clay,318.47,22.2,0.32,0.63,0.79,6.49
Punjab,Soybean,East,Clay,1196.91,36.4,0.49,0.22,0.88,5.96
Jharkhand,Cotton,South,Silt,643.86,17.7,0.87,0.76,0.4,7.79
Gujarat,Rice,North,Clay,811.93,23.8,0.41,0.94,0.03,5.52
Ladakh,Cotton,Central,Loamy,221.83,36.6,0.53,0.3,0.49,1.07
Kerala,Maize,Central,Silt,280.28,36.7,0.22,0.87,0.48,4.74
Sikkim,Rice,West,Loamy,1427.88,16.5,0.96,0.2,0.76,6.11
Telangana,Cotton,South,Clay,473.96,30.4,0.08,0.2,0.93,3.74
Odisha,Soybean,Central,Silt,1087.87,22.4,0.97,0.13,0.27,2.08
Tripura,Soybean,West,Clay,503.35,29.7,0.9,0.81,0.41,6.66
Chhattisgarh,Maize,North,Peaty,1470.32,21.9,0.96,0.86,0.84,7.05
Haryana,Maize,West,Silt,298.36,35.4,0.2,0.08,0.46,9.79
Goa,Wheat,North,Loamy,706.7,27.3,0.75,0.65,0.91,2.75
Uttarakhand,Rice,North,Peaty,893.75,23.0,0.96,0.95,0.54,2.17
Delhi,Soybean,West,Peaty,475.37,30.3,0.34,0.64,0.73,8.33
Ladakh,Cotton,South,Silt,700.47,33.1,0.8,0.22,0.57,9.41
Rajasthan,Wheat,South,Clay,1306.63,15.2,0.67,0.04,0.72,5.0
Himachal Pradesh,Wheat,Central,Sandy,1188.4,27.1,0.22,0.29,0.75,7.1
Bihar,Rice,North,Silt,391.15,22.8,0.78,0.07,0.88,9.88
Uttar Pradesh,Soybean,South,Peaty,623.16,27.5,0.92,0.32,0.73,5.36
Chhattisgarh,Soybean,South,Silt,320.45,21.8,0.36,0.88,0.04,6.96
Mizoram,Cotton,East,Silt,686.52,25.4,0.34,0.29,0.13,7.77
Uttar Pradesh,Rice,North,Silt,526.04,34.3,0.62,0.03,0.55,8.15
Tripura,Rice,South,Clay,981.51,38.5,0.63,0.86,0.62,9.6
Ladakh,Wheat,West,Clay,719.43,18.5,0.93,0.22,0.06,5.39
Meghalaya,Rice,West,Clay,662.23,21.9,0.78,0.81,0.46,5.77
Haryana,Wheat,Central,Clay,540.85,38.6,0.46,0.07,0.56,2.79
Madhya Pradesh,Maize,North,Clay,1315.77,16.1,0.16,0.44,0.97,8.71
Jharkhand,Wheat,South,Peaty,1202.06,20.9,0.13,0.26,0.77,6.7
Bihar,Soybean,South,Loamy,1308.73,22.0,0.48,0.79,0.21,9.09
Andhra Pradesh,Rice,East,Loamy,590.29,26.4,0.21,0.85,0.99,2.81
West Bengal,Wheat,North,Loamy,693.34,18.7,0.43,0.24,0.91,3.12
Assam,Soybean,East,Clay,1241.61,25.0,0.28,0.74,0.07,3.54
Sikkim,Soybean,Central,Peaty,591.73,27.9,0.43,0.67,0.61,5.09
Delhi,Rice,Central,Peaty,714.02,15.3,0.44,0.65,0.36,3.68
Meghalaya,Maize,Central,Loamy,1234.8,17.5,0.59,0.06,0.3,3.91
Nagaland,Rice,Central,Loamy,374.54,31.1,0.17,0.29,0.16,6.63
Andhra Pradesh,Soybean,Central,Silt,1452.83,36.7,0.37,0.77,0.69,1.69
Assam,Rice,West,Peaty,1227.54,26.2,0.04,0.94,0.77,4.26
Madhya Pradesh,Maize,South,Sandy,1007.27,38.0,0.02,0.44,0.9,5.32
Uttar Pradesh,Cotton,South,Peaty,955.02,18.1,0.22,0.36,0.92,8.45
Arunachal Pradesh,Maize,East,Sandy,495.75,35.9,0.1,0.31,0.6,1.83
Andhra Pradesh,Maize,West,Sandy,1176.37,37.3,0.28,0.13,0.44,7.95
Bihar,Cotton,Central,Peaty,1448.49,28.3,0.9,0.71,0.23,9.7
Punjab,Maize,East,Clay,1174.88,16.9,0.96,0.55,0.78,1.87
Ladakh,Maize,Central,Sandy,281.33,26.0,0.22,0.18,0.91,4.94
Sikkim,Cotton,East,Silt,917.09,27.0,0.8,0.03,0.49,2.84
Jammu and Kashmir,Rice,East,Silt,726.85,16.4,0.55,0.79,0.98,1.32
West Bengal,Maize,East,Sandy,1263.35,31.0,0.75,0.41,0.15,9.2
Maharashtra,Wheat,South,Clay,854.28,28.0,0.66,0.19,0.98,5.29
Arunachal Pradesh,Soybean,East,Silt,1119.12,19.4,0.28,0.8,0.27,7.42
Gujarat,Wheat,West,Silt,255.7,29.9,0.79,0.83,0.43,3.0
Karnataka,Maize,East,Silt,1207.26,39.0,0.95,0.88,0.86,9.86
Telangana,Cotton,Central,Peaty,328.14,27.0,0.34,0.64,0.84,5.35
Tripura,Soybean,Central,Clay,1092.51,37.3,0.55,0.01,0.49,6.3
Bihar,Soybean,South,Peaty,873.34,18.2,0.01,0.54,0.46,4.12
Kerala,Soybean,South,Sandy,573.23,38.9,0.66,0.28,0.38,4.33
Ladakh,Soybean,West,Clay,659.97,35.3,0.78,0.14,0.38,7.57
Telangana,Wheat,North,Clay,518.53,39.3,0.13,0.48,0.85,8.46
Ladakh,Rice,East,Sandy,349.53,23.2,0.44,0.27,0.72,4.66
Tamil Nadu,Wheat,North,Silt,1263.57,26.5,0.07,0.81,0.29,1.8
Sikkim,Maize,North,Clay,378.98,24.6,0.79,0.92,0.85,8.49
Himachal Pradesh,Rice,East,Loamy,1478.39,39.4,0.52,0.23,0.75,9.51
Mizoram,Maize,North,Clay,1068.72,25.3,0.72,0.32,0.75,6.87
Goa,Rice,Central,Sandy,1004.02,34.0,0.32,0.54,0.44,2.91
Meghalaya,Maize,South,Clay,537.98,28.6,0.11,0.33,0.81,4.71
Gujarat,Cotton,North,Silt,632.77,39.8,0.81,0.13,0.79,2.62
Jammu and Kashmir,Maize,East,Peaty,861.06,24.0,0.94,0.5,0.38,9.82
Maharashtra,Rice,Central,Loamy,886.49,22.9,0.47,0.65,0.86,1.48
Karnataka,Maize,Central,Clay,1273.27,17.1,0.72,0.84,0.36,9.06
Ladakh,Soybean,North,Loamy,837.53,37.0,0.48,0.94,0.47,6.02
Tamil Nadu,Rice,South,Loamy,913.66,34.9,0.02,0.02,0.07,5.03
Andhra Pradesh,Cotton,East,Loamy,425.01,16.4,0.61,0.46,0.0,5.01
Chhattisgarh,Wheat,West,Loamy,1117.97,33.7,0.73,0.46,0.97,9.92
Rajasthan,Cotton,Central,Sandy,989.75,39.0,0.81,0.7,0.04,2.12
Mizoram,Maize,South,Silt,522.59,18.8,0.07,0.1,0.48,6.54
Nagaland,Soybean,East,Sandy,633.93,18.1,0.38,0.84,0.92,8.5
Punjab,Rice,South,Loamy,1263.23,32.8,0.3,0.06,0.51,2.71
Arunachal Pradesh,Soybean,South,Peaty,729.94,19.7,0.41,0.35,0.36,8.99
Sikkim,Cotton,South,Silt,572.9,31.5,0.31,0.73,0.09,3.26
Sikkim,Soybean,North,Loamy,1011.93,33.0,0.45,0.85,0.28,4.68
West Bengal,Soybean,South,Sandy,1081.23,17.3,0.16,0.07,0.46,2.4
Meghalaya,Wheat,North,Clay,203.76,23.9,0.35,0.94,0.18,5.43
Tripura,Rice,East,Silt,618.65,30.3,0.72,0.23,0.57,1.81
Delhi,Soybean,West,Sandy,464.11,16.2,0.7,0.54,0.78,8.75
Uttar Pradesh,Wheat,Central,Peaty,1140.24,18.8,0.09,0.55,0.88,3.01
Gujarat,Cotton,North,Peaty,1163.75,38.4,0.13,0.97,0.43,4.2
Bihar,Cotton,Central,Loamy,988.31,22.9,0.47,0.3,0.37,4.97
Delhi,Rice,South,Loamy,1224.81,21.7,0.36,0.53,0.35,1.62
Goa,Maize,South,Peaty,732.49,18.0,0.65,0.05,0.15,7.19
West Bengal,Soybean,East,Sandy,1093.9,15.6,0.19,0.32,0.6,5.51
Uttar Pradesh,Soybean,North,Loamy,488.75,39.6,0.09,0.2,0.71,4.15
Haryana,Maize,Central,Sandy,1371.96,31.9,0.73,0.32,0.94,7.64
Chhattisgarh,Soybean,Central,Clay,249.67,34.5,0.82,0.57,0.96,8.72
Uttar Pradesh,Rice,North,Clay,761.95,29.0,0.96,0.76,0.99,6.44
Tamil Nadu,Soybean,Central,Sandy,234.65,23.7,0.4,0.46,0.99,2.28
West Bengal,Cotton,North,Peaty,713.88,39.8,0.96,0.28,0.46,2.22
Punjab,Cotton,North,Silt,544.73,19.9,0.02,0.56,0.15,6.95
Delhi,Rice,North,Sandy,1024.27,23.8,0.36,0.34,0.53,3.21
Tamil Nadu,Maize,Central,Clay,1345.84,39.9,0.95,0.94,0.97,5.66
West Bengal,Maize,East,Clay,418.22,27.9,0.57,0.57,0.0,8.12
Assam,Maize,Central,Sandy,1427.25,32.7,0.86,0.81,0.05,9.07
Sikkim,Cotton,North,Silt,1264.9,27.3,0.37,0.86,0.56,8.52
Jharkhand,Wheat,Central,Sandy,245.28,20.8,0.75,0.64,0.16,4.95
Tripura,Soybean,South,Peaty,254.16,17.8,0.15,0.16,0.09,4.84
Delhi,Rice,North,Silt,504.02,16.5,0.81,0.38,0.42,7.26
Tamil Nadu,Wheat,Central,Peaty,1050.09,39.9,0.1,0.35,0.79,9.78
Meghalaya,Rice,East,Sandy,839.4,38.7,0.99,0.07,0.62,9.37
Kerala,Wheat,South,Silt,950.39,18.1,0.49,0.94,0.15,9.96
Karnataka,Rice,West,Sandy,921.39,22.9,0.41,0.18,0.67,3.95
West Bengal,Wheat,East,Sandy,471.39,24.9,0.02,0.09,0.16,2.1
Sikkim,Soybean,South,Loamy,601.46,17.6,0.15,0.09,0.43,1.43
Nagaland,Soybean,West,Peaty,724.36,19.1,0.66,0.61,0.71,9.88
Uttar Pradesh,Maize,East,Peaty,283.29,19.2,0.28,0.09,0.14,1.93
Meghalaya,Soybean,North,Loamy,1453.69,38.3,0.78,0.44,0.89,8.32
Jharkhand,Rice,Central,Peaty,1106.75,36.9,0.33,0.96,0.74,4.01
Haryana,Wheat,East,Silt,1392.22,17.4,0.72,0.1,0.74,2.75
Haryana,Wheat,West,Silt,1276.57,39.8,0.27,0.51,0.2,1.45
Uttarakhand,Cotton,South,Sandy,600.52,20.3,0.85,0.91,0.37,6.61
Odisha,Maize,Central,Clay,662.6,30.5,0.83,0.65,0.48,9.33
Uttar Pradesh,Cotton,North,Loamy,826.21,31.9,0.91,0.37,0.23,6.58
Ladakh,Soybean,North,Clay,934.08,36.5,0.24,0.63,0.59,9.46
Meghalaya,Rice,South,Sandy,1312.06,33.9,0.22,0.13,0.63,6.26
Tripura,Rice,West,Sandy,232.2,38.7,0.53,0.93,0.82,3.53
Uttarakhand,Soybean,Central,Peaty,436.85,17.2,0.76,0.46,0.09,1.99
West Bengal,Wheat,East,Clay,315.31,39.9,0.49,0.31,0.2,7.03
Karnataka,Soybean,West,Loamy,1159.39,31.0,0.15,0.13,0.85,2.47
West Bengal,Rice,Central,Peaty,1397.1,32.5,0.59,0.42,0.01,1.5
Karnataka,Maize,East,Silt,1452.4,23.3,0.58,0.69,0.49,1.41
Bihar,Maize,East,Silt,1083.29,16.5,0.88,0.5,0.71,7.7
Jharkhand,Maize,East,Peaty,1346.74,30.2,0.77,0.94,0.1,6.4
Gujarat,Rice,South,Peaty,1193.96,15.4,0.19,0.33,0.15,8.77
Uttarakhand,Maize,Central,Silt,1004.38,35.0,0.9,0.15,0.35,5.68
Assam,Rice,West,Sandy,1057.19,18.3,0.25,0.1,0.5,4.7
Delhi,Soybean,South,Loamy,449.1,15.3,0.85,0.33,0.4,8.47
Madhya Pradesh,Cotton,East,Sandy,234.44,33.9,0.12,0.63,0.1,4.84
Goa,Cotton,North,Peaty,1275.79,39.0,0.98,0.11,0.55,6.78
Odisha,Wheat,West,Clay,572.99,35.3,0.23,1.0,0.26,9.98
Uttar Pradesh,Wheat,West,Sandy,846.5,33.5,0.43,0.32,0.84,9.18
Karnataka,Cotton,West,Sandy,1196.87,31.4,0.92,0.81,0.75,3.34
Assam,Cotton,South,Silt,1272.85,29.3,0.79,0.08,0.51,7.61
Tamil Nadu,Wheat,Central,Loamy,1285.77,15.7,0.95,0.55,0.68,5.22
Chhattisgarh,Rice,West,Peaty,1125.17,23.2,0.78,0.79,0.53,1.38
Uttarakhand,Soybean,South,Peaty,504.3,37.3,0.73,0.42,0.59,6.83
Arunachal Pradesh,Soybean,East,Loamy,287.59,25.3,0.82,0.54,0.88,3.07
Karnataka,Maize,North,Clay,772.35,37.7,0.93,0.86,0.58,2.37
Haryana,Soybean,East,Clay,685.99,24.1,0.57,0.49,0.12,7.73
Jharkhand,Wheat,South,Sandy,513.08,17.0,0.19,0.86,0.6,1.36
Madhya Pradesh,Wheat,East,Peaty,715.81,15.8,0.67,0.65,0.6,3.3
Meghalaya,Rice,East,Peaty,1311.85,25.8,0.41,0.95,0.6,3.25
Karnataka,Soybean,South,Loamy,1120.49,19.0,0.11,0.41,0.83,9.87
Sikkim,Soybean,Central,Loamy,342.43,38.0,0.62,0.17,0.1,5.13
Meghalaya,Soybean,West,Sandy,243.44,20.4,0.66,0.47,0.2,8.47
Ladakh,Maize,West,Peaty,1179.83,21.3,0.61,0.61,0.05,5.87
Gujarat,Wheat,Central,Loamy,943.81,17.2,0.98,0.62,0.04,2.35
Mizoram,Soybean,East,Sandy,664.84,32.6,0.07,0.36,0.18,4.06
Uttar Pradesh,Maize,North,Loamy,623.11,15.4,0.48,0.46,0.33,3.87
Sikkim,Rice,West,Silt,1323.21,30.3,0.9,0.7,0.02,1.56
Himachal Pradesh,Rice,North,Sandy,404.82,39.1,0.03,0.85,0.72,9.31
Madhya Pradesh,Rice,West,Sandy,915.85,25.1,0.81,0.98,0.05,6.07
Rajasthan,Maize,South,Sandy,720.16,25.4,0.54,0.28,0.06,3.54
Rajasthan,Cotton,Central,Sandy,1241.76,30.9,0.59,0.92,0.65,7.06
Rajasthan,Cotton,West,Sandy,265.31,23.8,0.65,0.16,0.0,7.67
Uttar Pradesh,Cotton,South,Silt,824.45,34.7,0.08,0.08,0.75,2.37
Jammu and Kashmir,Wheat,East,Loamy,998.79,32.1,0.36,0.67,0.15,2.55
Chhattisgarh,Cotton,Central,Sandy,402.28,19.8,0.72,0.15,0.5,5.8
Manipur,Maize,West,Silt,365.26,32.0,0.1,0.83,0.48,7.98
Uttar Pradesh,Cotton,West,Sandy,1147.75,30.9,0.55,0.92,0.28,2.48
Punjab,Wheat,East,Peaty,977.76,21.7,0.76,0.6,0.61,2.84
Goa,Cotton,East,Clay,222.77,37.2,0.28,0.06,0.66,5.82
Manipur,Soybean,Central,Loamy,609.71,31.4,0.79,0.2,0.48,7.49
Arunachal Pradesh,Rice,South,Clay,1284.01,22.3,0.27,0.36,0.49,8.87
Bihar,Cotton,South,Loamy,583.49,19.0,0.6,0.18,0.13,6.31
Uttarakhand,Soybean,East,Peaty,629.92,21.2,0.95,0.63,0.12,6.59
Telangana,Wheat,North,Silt,585.22,39.6,0.87,0.17,0.2,6.55
Ladakh,Maize,Central,Clay,1027.05,22.4,0.09,0.72,0.49,4.93
Rajasthan,Rice,Central,Sandy,1251.09,33.2,0.76,0.36,0.23,6.16
Jharkhand,Maize,West,Loamy,214.35,27.2,0.57,0.8,0.87,8.51
Bihar,Rice,Central,Loamy,861.39,16.2,0.66,0.38,0.16,2.02
Karnataka,Soybean,North,Clay,1479.32,29.8,0.49,0.46,0.72,8.55
Madhya Pradesh,Soybean,North,Sandy,611.12,17.1,0.55,0.05,0.88,7.85
Delhi,Soybean,West,Sandy,494.34,32.0,0.52,0.21,0.88,1.84
Ladakh,Maize,South,Sandy,207.21,37.6,0.2,0.09,0.74,7.63
Arunachal Pradesh,Cotton,Central,Silt,1062.68,36.0,0.33,0.56,0.51,8.29
Nagaland,Rice,East,Clay,575.58,17.4,0.45,0.88,0.89,1.83
Goa,Wheat,West,Peaty,1059.14,20.9,0.01,0.55,0.5,8.15
Jharkhand,Wheat,Central,Silt,524.05,31.7,0.91,0.75,0.65,2.61
Rajasthan,Soybean,North,Sandy,811.95,25.3,0.5,0.59,0.35,3.37
Telangana,Maize,West,Loamy,330.06,19.9,0.44,0.81,0.13,5.52
Haryana,Rice,South,Loamy,1095.53,20.2,0.79,0.42,0.53,1.02
Sikkim,Maize,Central,Loamy,1132.56,32.6,0.18,0.82,0.74,8.91
Uttarakhand,Wheat,North,Silt,1312.69,22.6,0.08,0.99,0.02,7.76
West Bengal,Maize,East,Clay,1229.47,19.1,0.87,0.03,0.25,6.71
Chhattisgarh,Maize,West,Sandy,1362.66,17.2,0.87,0.99,0.36,2.37
Chhattisgarh,Wheat,North,Sandy,1011.62,34.4,0.77,0.79,0.92,9.14
Uttarakhand,Soybean,Central,Sandy,555.64,15.1,0.33,0.98,0.86,8.79
Telangana,Wheat,South,Silt,217.61,15.9,0.46,0.31,0.59,5.01
Andhra Pradesh,Rice,Central,Silt,1126.43,36.9,0.95,0.5,0.1,9.62
Bihar,Wheat,North,Loamy,1332.96,15.3,0.99,0.58,0.08,8.78
Sikkim,Wheat,Central,Silt,927.5,17.4,0.05,0.39,0.32,5.03
Odisha,Soybean,East,Silt,452.7,25.7,0.22,0.83,0.49,9.0
Kerala,Wheat,North,Peaty,831.87,23.9,0.58,0.73,0.1,4.68
Chhattisgarh,Cotton,North,Clay,1476.71,24.1,0.16,0.85,0.89,4.32
Goa,Rice,South,Peaty,920.42,35.9,0.06,0.45,0.57,3.94
Odisha,Rice,South,Sandy,255.38,17.2,0.05,0.75,0.99,8.42
Meghalaya,Wheat,North,Sandy,934.79,25.6,0.23,0.15,0.3,8.19
Jharkhand,Maize,South,Sandy,365.82,24.1,0.41,0.49,0.2,8.29
Jammu and Kashmir,Soybean,North,Clay,711.0,36.5,0.91,0.73,0.38,6.8
Jharkhand,Wheat,North,Sandy,1018.01,20.1,0.03,0.66,0.1,3.33
Haryana,Wheat,North,Silt,1292.67,28.4,0.25,0.02,0.96,5.63
Assam,Cotton,South,Sandy,500.19,38.6,0.06,0.48,0.41,4.05
Madhya Pradesh,Rice,West,Peaty,1437.96,36.9,0.87,0.99,0.15,5.17
Assam,Soybean,North,Loamy,492.98,37.7,0.1,0.45,0.84,7.97
Karnataka,Wheat,East,Clay,1066.51,18.1,0.29,0.33,0.52,5.62
West Bengal,Rice,North,Clay,278.83,35.2,0.23,0.32,0.25,4.37
Himachal Pradesh,Soybean,South,Peaty,1177.06,31.4,0.73,0.08,0.67,5.93
West Bengal,Maize,Central,Silt,539.25,38.3,0.18,0.45,0.81,2.04
Odisha,Cotton,North,Clay,1276.0,19.1,0.42,0.43,0.79,4.41
Sikkim,Soybean,North,Peaty,368.89,15.6,0.07,0.06,0.61,4.95
Manipur,Rice,Central,Silt,322.55,26.2,0.07,0.69,0.69,2.57
Haryana,Wheat,South,Clay,1250.28,39.6,0.94,0.1,0.45,3.54
Tamil Nadu,Cotton,South,Clay,507.47,17.5,0.12,0.36,0.98,6.1
Gujarat,Soybean,South,Sandy,1021.61,24.1,0.08,0.54,0.52,9.26
Ladakh,Rice,West,Clay,511.97,30.8,0.3,0.24,0.15,5.7
Meghalaya,Maize,West,Silt,874.36,22.3,0.93,0.47,0.17,3.39
Meghalaya,Wheat,South,Silt,1164.12,29.5,0.71,0.74,0.29,4.54
Chhattisgarh,Wheat,Central,Peaty,1499.83,27.7,0.95,0.54,0.21,2.57
Tripura,Wheat,North,Sandy,808.35,17.3,0.79,0.24,0.12,3.85
Uttarakhand,Maize,North,Loamy,696.23,21.8,0.66,0.32,0.69,9.58
Tripura,Cotton,North,Clay,1493.81,17.8,0.82,0.75,0.15,2.37
Madhya Pradesh,Maize,Central,Peaty,452.26,32.8,0.47,0.74,0.48,4.49
Jharkhand,Rice,East,Silt,814.16,28.3,0.84,0.72,0.58,4.12
Himachal Pradesh,Cotton,East,Silt,1413.31,32.8,0.36,0.58,0.33,9.32
